,"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
169,3.7,3.9,3.5,3.8,3.9,4.2,4.6,3.7,1.7,2.3,2.5,2.5,2.6,3.5,2.6,3.8,3.7,3.9,3.7,4.0,3.0,5.0,4.1,2.9,4.3,5.1,3.9,5.3,3.2,2.3,3.0,2.2,1.5,3.1
170,3.7,4.0,4.5,3.7,3.9,4.1,4.4,3.6,1.5,2.6,2.5,2.4,2.5,3.8,2.9,4.2,3.8,4.5,4.0,4.0,3.9,5.3,4.1,2.9,4.3,4.8,4.4,4.8,2.9,2.3,3.0,2.2,1.5,2.9
171,3.6,3.8,3.8,3.5,3.9,3.9,4.3,3.7,1.8,2.5,2.5,2.5,2.7,3.3,2.5,3.3,4.2,3.9,3.3,3.2,3.7,5.3,4.0,2.6,4.2,4.6,4.0,4.7,3.2,2.2,2.9,2.1,1.4,3.0
172,3.8,4.1,4.4,3.6,4.1,4.5,4.7,4.0,1.7,2.3,2.6,2.5,2.6,3.6,2.7,3.6,4.3,3.8,4.3,4.5,4.0,6.0,4.4,2.8,4.7,4.6,3.3,4.8,2.8,2.3,3.3,2.2,1.4,3.0
173,3.8,4.0,3.9,3.5,4.1,4.7,4.7,4.2,1.7,2.4,2.6,2.4,2.8,3.6,2.7,3.4,5.3,3.8,4.0,4.3,3.1,5.9,4.3,2.7,4.6,4.4,3.2,4.7,2.9,2.3,2.9,2.2,1.4,3.1
174,3.6,3.8,3.3,3.6,3.9,4.4,4.5,4.0,2.2,2.2,2.3,2.2,2.5,3.5,2.6,3.5,4.2,3.9,3.3,3.4,3.2,5.3,4.4,2.9,4.6,4.2,3.0,4.4,3.3,2.1,3.2,1.9,1.6,2.3
175,4.1,4.4,4.7,3.8,4.6,4.7,4.6,4.3,2.3,2.2,2.7,2.5,2.9,4.5,3.1,5.0,4.4,4.3,4.1,3.9,4.8,5.5,5.0,3.4,5.3,4.8,3.1,5.1,3.4,2.4,3.5,2.3,1.6,3.0
176,3.7,4.0,4.2,3.7,3.9,4.2,4.5,4.1,1.8,2.2,2.5,2.4,2.6,3.7,2.7,4.1,3.7,4.0,3.8,3.8,3.7,5.2,4.5,2.7,4.8,4.4,2.6,4.7,3.5,2.2,3.2,2.0,1.4,2.7
177,3.7,4.0,3.8,3.8,4.0,4.3,4.5,4.2,2.3,1.8,2.5,2.3,2.8,3.8,2.9,4.2,3.6,4.0,3.7,4.2,2.5,5.3,4.6,2.7,5.0,4.4,3.3,4.6,3.2,2.1,2.6,2.0,1.2,2.9
178,3.9,4.2,4.1,4.1,4.1,4.3,4.6,4.1,2.1,2.0,2.5,2.3,2.8,3.9,3.0,4.0,4.3,3.9,3.9,4.1,3.1,5.8,4.6,3.5,4.8,4.9,3.4,5.1,3.2,2.3,3.4,2.2,1.7,2.8
179,3.8,4.1,4.6,3.9,4.0,4.1,4.6,4.1,2.2,1.8,2.4,2.2,2.7,3.7,2.4,3.6,5.3,2.5,4.2,4.6,3.1,6.1,4.7,3.0,5.0,4.7,3.8,4.9,2.4,2.3,3.4,2.2,1.6,2.8
180,3.9,4.2,3.9,4.2,4.2,4.3,4.5,4.1,2.4,2.3,2.6,2.3,3.1,3.7,2.7,3.9,4.3,3.9,4.8,5.1,4.0,5.7,4.6,3.4,4.8,4.6,3.4,4.8,3.6,2.4,3.4,2.2,1.7,2.9
181,4.0,4.3,4.0,4.4,4.4,4.3,4.5,4.0,1.7,2.5,2.5,2.2,3.0,3.8,3.2,4.4,2.8,3.9,4.1,4.5,2.8,6.2,5.0,2.3,5.5,4.7,4.0,4.8,3.7,2.3,3.2,2.1,1.5,2.8
182,3.9,4.2,3.8,4.2,4.3,4.3,4.0,3.6,1.6,2.8,2.6,2.1,3.3,3.8,3.5,4.3,2.8,3.3,3.9,3.6,4.7,5.8,4.4,3.5,4.5,4.7,3.2,4.9,3.9,2.2,3.4,2.0,1.4,2.6
183,4.1,4.4,4.7,4.3,4.6,4.3,4.3,3.8,1.6,3.0,2.6,2.2,3.4,3.8,3.2,4.3,2.9,3.1,3.8,4.0,3.3,6.9,4.6,2.9,4.9,5.1,5.1,5.1,3.8,2.2,3.2,2.0,1.5,2.7
184,3.9,4.2,3.9,4.0,4.3,4.3,4.6,4.4,1.7,2.6,3.0,2.5,4.0,3.9,3.9,4.1,3.3,2.9,4.1,4.1,3.9,5.0,4.7,3.3,4.9,4.7,4.8,4.7,4.7,2.2,3.3,2.0,1.4,2.8
185,3.9,4.1,4.1,3.9,4.1,4.3,4.7,4.3,1.7,2.6,2.8,2.3,3.5,3.8,2.8,4.4,3.4,3.9,3.9,4.2,2.9,5.5,4.6,2.9,5.0,4.6,3.9,4.7,2.9,2.4,3.4,2.2,1.5,3.1
186,3.8,4.1,3.7,4.0,4.1,4.4,5.0,3.9,1.7,2.6,2.9,2.5,3.5,3.8,2.9,4.3,3.4,3.1,3.7,3.8,3.7,5.4,4.5,2.7,4.9,4.8,4.0,5.0,3.6,2.1,3.0,2.0,1.2,2.8
187,4.0,4.2,3.6,4.1,4.3,4.4,5.0,4.2,1.4,3.0,2.7,2.5,3.0,3.7,2.5,4.2,3.8,2.8,4.0,4.1,3.5,5.8,4.7,2.7,5.1,4.6,4.4,4.6,3.5,2.6,3.3,2.5,1.9,3.1
188,3.8,4.1,3.0,4.1,4.1,4.4,4.8,4.1,1.7,2.7,2.6,2.3,3.0,3.6,2.7,3.9,3.5,2.7,4.2,4.2,4.0,5.2,4.4,2.4,4.8,4.9,4.0,5.0,3.8,2.2,3.4,2.1,1.3,2.9
189,3.9,4.2,3.7,4.0,4.4,4.2,4.6,4.0,2.3,3.7,2.6,2.4,2.9,3.6,2.8,4.2,2.8,3.5,4.1,4.2,3.8,5.6,4.6,3.1,4.9,4.5,3.4,4.6,3.3,2.3,3.8,2.1,1.3,3.0
190,3.7,4.0,3.6,4.0,4.0,4.1,4.6,3.9,1.6,3.1,2.4,2.3,2.4,3.6,3.1,4.0,2.8,2.9,3.6,3.7,3.2,4.6,5.1,3.6,5.4,4.6,4.5,4.6,3.2,2.1,3.1,2.0,1.1,3.0
191,4.0,4.2,3.8,4.0,4.4,4.2,4.7,3.9,3.1,2.9,2.7,2.5,3.1,3.5,3.3,3.8,2.8,2.8,4.1,4.3,3.5,5.7,5.0,2.7,5.4,4.6,4.4,4.6,3.6,2.5,3.2,2.4,1.4,3.5
192,3.9,4.2,4.0,4.0,4.4,4.3,4.6,3.7,3.9,2.6,2.9,2.6,3.5,3.8,3.4,4.0,3.4,2.8,4.5,4.6,4.4,5.1,5.0,2.8,5.4,4.5,4.0,4.6,4.1,2.4,5.2,2.0,1.4,2.8
193,3.7,4.0,3.3,3.9,4.2,4.2,4.5,3.9,4.1,2.3,2.9,2.7,3.3,3.5,2.9,3.8,2.9,3.0,4.4,3.9,6.1,4.6,4.8,2.0,5.3,4.4,3.4,4.5,4.0,2.2,2.8,2.1,1.5,2.8
194,3.9,4.2,4.1,4.1,4.3,4.3,4.3,3.8,3.8,2.7,2.9,2.6,3.4,3.7,3.0,3.9,3.6,2.4,3.9,4.4,2.7,4.6,5.1,3.2,5.5,5.3,3.9,5.6,4.4,2.2,2.7,2.1,1.3,3.1
195,3.8,4.1,3.7,3.9,4.3,4.2,4.4,3.9,2.8,2.5,3.1,2.8,3.5,3.9,3.5,4.2,3.3,3.0,4.1,4.4,3.1,4.7,4.6,2.9,5.0,4.5,4.0,4.6,4.9,2.2,2.9,2.1,1.4,3.0
196,4.0,4.3,4.3,4.1,4.2,4.5,4.8,4.0,4.3,2.9,2.9,2.5,3.5,3.6,3.2,3.9,3.2,3.5,5.0,5.2,4.4,4.9,4.6,2.5,5.0,5.0,3.5,5.3,6.2,2.4,2.9,2.3,1.6,3.1
197,3.8,4.1,3.9,3.9,4.1,4.2,4.5,3.9,3.7,2.4,2.7,2.5,3.1,3.7,3.3,4.1,2.8,3.8,4.1,4.2,3.9,4.7,4.5,2.7,4.9,5.0,2.8,5.4,4.2,2.4,3.9,2.2,1.6,2.9
198,4.1,4.4,4.3,4.1,4.5,4.9,4.7,4.1,3.9,2.8,3.1,2.7,3.6,3.9,3.7,4.1,3.6,3.8,4.3,4.8,2.9,5.7,4.8,2.3,5.3,5.0,4.8,5.1,4.2,2.5,3.5,2.4,1.4,3.4
199,4.1,4.4,4.1,4.1,4.5,4.6,4.7,4.3,4.1,2.9,2.9,2.3,3.9,4.0,3.4,4.1,4.2,3.4,4.0,4.2,3.7,5.2,4.7,3.2,5.0,5.1,4.6,5.2,5.5,2.4,3.6,2.2,1.5,3.0
200,4.1,4.4,4.1,4.3,4.6,4.6,4.7,4.0,4.1,2.9,3.3,3.0,3.6,4.4,3.5,4.7,4.5,4.1,3.5,3.7,3.0,5.1,4.8,2.7,5.2,5.3,4.0,5.6,4.2,2.2,2.8,2.1,1.2,3.1
201,4.1,4.4,4.7,4.0,4.4,4.8,4.7,3.8,3.6,2.7,3.4,3.4,3.3,4.2,3.3,4.4,4.5,3.6,5.0,5.4,3.9,5.1,4.7,2.7,5.1,4.7,4.3,4.7,4.8,2.5,3.1,2.4,1.6,3.3
202,4.2,4.5,4.4,3.8,4.8,5.0,4.9,4.1,4.0,2.8,3.3,3.2,3.4,4.1,2.4,4.6,4.3,3.1,4.6,4.3,5.4,6.0,4.6,2.6,5.0,4.7,3.6,4.9,4.5,2.4,3.0,2.3,1.6,3.2
203,4.1,4.4,4.4,3.9,4.7,4.8,4.5,3.9,3.8,3.3,3.4,3.2,3.6,4.5,3.0,5.6,2.8,3.3,4.2,4.3,4.0,4.8,4.6,2.8,4.9,5.1,3.6,5.4,4.2,2.3,2.7,2.3,1.5,3.1
204,4.1,4.4,4.3,4.0,4.6,4.8,4.6,3.8,3.2,3.2,3.1,3.0,3.3,4.9,3.8,5.6,4.0,4.3,4.1,4.2,3.7,4.5,4.7,2.5,5.1,5.2,3.6,5.4,3.1,2.5,3.3,2.4,1.5,3.4
205,4.3,4.6,4.4,4.1,4.9,5.0,4.8,4.1,3.7,3.4,3.4,3.3,3.7,4.8,3.5,5.3,4.6,4.3,4.4,4.7,3.3,5.1,4.7,2.8,5.0,5.4,3.6,5.7,3.5,2.6,3.9,2.4,1.7,3.2
206,4.2,4.5,4.1,4.1,4.8,5.0,4.8,4.0,3.9,2.9,3.4,3.4,3.4,4.5,3.2,5.0,4.6,4.4,4.5,5.0,3.1,5.1,4.8,2.5,5.2,5.3,4.6,5.4,3.9,2.6,2.5,2.6,1.9,3.4
207,4.4,4.7,4.4,4.3,4.8,5.0,5.3,3.9,3.7,3.0,3.2,3.0,3.4,4.9,3.1,5.5,4.9,4.4,4.7,4.9,4.1,5.4,5.0,2.9,5.4,5.4,4.0,5.6,3.7,2.7,3.6,2.6,1.8,3.5
208,4.4,4.8,4.4,4.3,4.9,5.2,5.4,4.3,4.6,3.0,3.4,3.4,3.3,5.2,3.1,6.1,4.8,5.9,3.4,3.4,3.3,5.4,4.9,2.6,5.3,5.6,4.6,5.8,3.7,2.6,2.8,2.5,1.8,3.4
209,4.5,4.8,4.2,4.5,4.9,5.6,5.4,4.2,3.8,3.5,3.5,3.6,3.4,5.1,3.6,5.8,4.9,4.3,4.1,4.2,4.0,5.6,4.9,2.8,5.2,5.7,5.1,5.7,4.3,2.6,3.5,2.5,1.7,3.3
210,4.6,4.9,4.4,4.8,5.0,5.5,5.3,4.4,3.7,3.8,3.5,3.5,3.5,5.1,3.5,5.9,4.8,4.5,4.1,4.1,4.1,5.7,5.1,3.6,5.3,6.1,6.2,6.1,3.8,2.8,3.8,2.6,1.9,3.5
211,4.6,4.9,4.6,4.7,4.9,5.6,5.3,4.1,3.6,3.6,3.5,3.4,3.6,5.1,3.9,5.8,4.5,5.0,4.8,5.1,3.7,5.6,5.0,3.0,5.3,5.9,4.0,6.2,3.7,2.8,4.0,2.6,1.5,3.8
212,4.6,4.9,4.8,4.6,4.8,5.3,5.2,4.3,4.0,3.7,3.8,3.5,4.2,4.5,3.9,4.8,4.1,4.9,4.6,4.8,3.8,5.9,5.0,3.3,5.3,5.8,4.5,6.0,3.8,3.1,4.2,3.0,2.1,3.9
213,4.7,5.1,4.7,4.9,5.2,5.5,5.4,4.7,3.9,4.1,3.6,3.7,3.5,5.2,3.9,5.7,5.3,4.1,4.3,4.3,4.3,6.0,5.1,2.2,5.7,6.2,3.6,6.6,4.0,2.7,3.1,2.6,1.9,3.4
214,4.7,5.0,5.3,4.8,4.9,5.2,5.3,4.7,4.3,3.6,3.8,3.8,3.8,4.9,3.4,5.8,4.0,4.8,4.5,4.4,4.8,6.0,5.0,2.5,5.4,5.8,3.7,6.2,4.8,2.7,3.6,2.5,2.0,3.1
215,4.8,5.2,4.7,5.0,5.3,5.4,5.6,4.4,4.0,4.1,3.9,3.8,4.1,5.4,3.6,6.2,5.1,4.5,4.7,4.9,4.2,6.0,5.0,2.4,5.5,5.9,3.9,6.2,4.5,2.9,4.1,2.8,2.1,3.5
216,4.8,5.1,4.5,5.0,5.1,5.6,5.4,4.3,3.4,5.1,3.5,3.7,3.2,4.9,2.8,5.5,5.2,4.3,4.0,4.4,2.9,6.0,5.2,2.6,5.7,6.1,4.6,6.4,4.5,2.9,4.0,2.8,2.3,3.3
217,4.8,5.1,4.5,5.0,5.2,5.2,5.5,4.3,4.3,4.0,3.2,3.4,3.0,5.0,4.5,5.0,5.4,4.8,4.4,4.2,4.8,6.2,5.4,3.1,5.8,6.4,4.1,6.7,2.9,3.0,4.4,2.8,1.9,3.8
218,4.5,4.8,3.7,4.7,5.1,5.1,5.2,4.1,4.0,3.7,3.4,3.4,3.5,4.4,3.5,4.9,4.0,4.6,3.9,4.0,3.6,6.1,4.8,2.8,5.2,5.7,4.1,6.0,3.9,3.0,4.4,2.8,1.9,3.7
219,4.6,4.9,4.7,4.9,5.0,4.9,5.0,4.4,4.0,4.6,3.3,3.4,3.0,4.5,3.5,4.7,5.0,5.1,4.0,3.7,4.9,6.0,5.3,2.9,5.8,5.7,4.0,6.0,4.0,3.1,4.2,2.9,2.2,3.7
220,4.6,4.9,4.7,4.5,5.0,5.1,5.3,4.5,3.6,5.1,3.4,3.4,3.4,4.7,4.2,4.6,5.2,3.8,3.9,3.7,4.4,5.2,5.5,3.3,5.9,5.8,4.7,6.0,4.0,3.1,5.4,2.8,1.9,3.8
221,4.6,4.9,5.6,4.3,4.9,4.9,6.0,4.7,3.5,4.6,3.5,3.5,3.7,4.5,3.5,4.6,5.3,4.3,4.2,4.0,4.5,5.6,5.4,3.3,5.7,5.8,5.2,5.9,4.4,2.9,3.8,2.8,1.8,3.8
222,4.6,4.8,5.1,4.1,4.9,5.2,5.5,5.1,3.6,3.9,3.5,3.4,3.7,4.7,3.3,5.0,5.2,4.3,4.2,4.1,4.7,5.6,5.1,3.2,5.5,5.4,4.3,5.6,4.1,3.2,3.8,3.1,2.2,4.2
223,4.5,4.7,4.9,4.2,4.9,5.1,5.4,4.3,4.6,4.1,3.4,3.3,3.5,4.4,3.0,5.1,4.1,5.0,4.2,4.0,4.7,5.5,5.1,3.0,5.5,5.5,4.5,5.7,4.2,2.8,3.9,2.6,2.0,3.3
224,4.5,4.8,4.8,4.4,4.8,5.0,5.4,5.0,4.0,4.2,3.3,3.4,3.1,4.5,2.9,4.9,4.9,4.3,4.2,4.1,4.4,5.6,5.2,3.1,5.6,5.5,5.0,5.6,4.2,3.2,3.8,3.1,2.2,4.1
225,4.5,4.7,4.8,4.4,4.7,5.0,5.4,4.9,3.7,4.2,3.3,3.2,3.6,4.4,3.1,4.5,5.2,5.8,4.1,4.2,3.7,5.5,4.8,3.2,5.1,5.8,5.5,5.8,4.3,3.2,3.8,3.1,2.2,4.0
226,4.6,4.8,4.4,4.5,5.0,5.1,5.1,4.5,2.9,4.1,3.0,3.0,3.0,4.9,4.2,5.0,5.2,4.9,4.6,4.8,4.0,5.3,5.1,3.3,5.4,5.6,5.3,5.7,4.3,3.3,4.3,3.2,2.3,4.3
227,4.3,4.5,4.5,4.2,4.6,4.7,4.9,4.4,2.7,3.1,3.1,3.3,2.9,4.3,2.9,4.6,5.1,4.7,3.9,3.9,4.0,5.3,5.0,3.4,5.3,5.5,4.6,5.6,3.6,3.3,3.9,3.2,2.2,4.2
228,4.2,4.4,4.5,4.2,4.5,4.4,4.6,4.7,2.1,3.3,2.9,2.7,3.2,4.1,2.8,4.5,4.4,4.6,3.4,3.3,3.8,5.5,4.8,2.8,5.2,5.2,5.3,5.2,4.1,3.2,3.2,3.2,2.1,4.4
229,4.5,4.7,5.1,4.4,4.5,4.9,4.8,4.3,2.3,3.8,3.1,3.0,3.2,4.3,3.0,4.7,4.6,4.3,4.4,4.5,4.2,5.7,5.1,3.0,5.5,5.1,6.1,5.0,4.3,3.5,4.9,3.3,2.3,4.3
230,4.4,4.6,5.2,4.1,4.6,4.7,4.8,4.3,3.6,3.7,3.0,3.0,3.0,4.2,3.0,4.6,4.4,4.5,4.4,4.5,4.3,5.7,5.0,3.2,5.3,5.3,5.3,5.3,3.4,3.3,3.8,3.2,2.4,4.1
231,3.8,3.9,4.6,3.1,3.9,4.2,4.6,4.2,1.6,2.9,2.3,2.0,2.8,3.8,2.5,3.7,5.1,4.0,3.9,4.0,3.8,4.9,4.5,2.8,4.8,3.9,4.3,3.8,2.9,3.0,4.1,2.9,2.0,3.8
232,4.0,4.1,4.7,3.3,4.1,4.5,4.8,4.4,1.8,3.0,2.6,2.3,3.1,4.0,2.6,3.9,5.2,4.1,3.9,4.0,3.9,5.1,4.7,3.0,5.0,4.3,4.7,4.2,3.2,3.1,4.1,3.0,2.1,3.8
233,4.2,4.3,4.9,3.6,4.3,4.7,5.1,4.6,1.9,3.1,2.9,2.6,3.5,4.1,2.8,4.1,5.4,4.2,3.9,3.9,3.9,5.4,4.8,3.1,5.1,4.7,5.1,4.6,3.4,3.1,4.2,3.0,2.2,3.9
234,4.4,4.5,5.0,3.8,4.5,5.0,5.3,4.8,2.1,3.2,3.2,2.8,3.8,4.3,2.9,4.3,5.5,4.4,3.9,3.9,4.0,5.6,5.0,3.3,5.3,5.1,5.4,5.1,3.7,3.2,4.2,3.1,2.3,3.9
235,4.5,4.7,5.2,4.1,4.7,5.2,5.5,4.9,2.2,3.2,3.5,3.1,4.1,4.5,3.1,4.5,5.7,4.5,3.9,3.9,4.0,5.8,5.2,3.4,5.5,5.6,5.8,5.5,4.0,3.3,4.2,3.2,2.4,4.0
236,4.7,4.9,5.3,4.3,4.9,5.5,5.8,5.1,2.4,3.3,3.8,3.4,4.5,4.7,3.2,4.7,5.8,4.6,3.9,3.8,4.1,6.0,5.3,3.6,5.6,6.0,6.2,5.9,4.2,3.4,4.3,3.3,2.5,4.0
237,4.9,5.1,5.4,4.5,5.1,5.7,6.0,5.3,2.6,3.4,4.1,3.7,4.8,4.8,3.3,4.9,5.9,4.7,3.9,3.8,4.2,6.3,5.5,3.8,5.8,6.4,6.6,6.3,4.5,3.4,4.3,3.3,2.6,4.0
238,5.1,5.3,5.6,4.8,5.3,6.0,6.2,5.5,2.7,3.5,4.4,4.0,5.1,5.0,3.5,5.1,6.1,4.8,3.9,3.8,4.2,6.5,5.7,3.9,6.0,6.8,7.0,6.7,4.8,3.5,4.3,3.4,2.7,4.1
239,5.3,5.6,5.7,5.0,5.4,6.2,6.5,5.7,2.9,3.6,4.7,4.2,5.5,5.2,3.6,5.3,6.2,5.0,3.8,3.7,4.3,6.7,5.8,4.1,6.1,7.2,7.3,7.2,5.0,3.6,4.4,3.5,2.9,4.1
240,5.5,5.8,5.9,5.3,5.6,6.5,6.7,5.9,3.0,3.7,5.0,4.5,5.8,5.4,3.8,5.5,6.4,5.1,3.8,3.7,4.3,6.9,6.0,4.2,6.3,7.6,7.7,7.6,5.3,3.7,4.4,3.6,3.0,4.2
241,5.7,6.0,6.0,5.5,5.8,6.7,6.9,6.1,3.2,3.8,5.3,4.8,6.1,5.5,3.9,5.7,6.5,5.2,3.8,3.7,4.4,7.2,6.2,4.4,6.5,8.0,8.1,8.0,5.6,3.7,4.4,3.6,3.1,4.2
242,5.9,6.2,6.1,5.7,6.0,7.0,7.2,6.3,3.4,3.9,5.6,5.1,6.5,5.7,4.0,5.9,6.6,5.3,3.8,3.6,4.5,7.4,6.3,4.6,6.6,8.4,8.5,8.4,5.8,3.8,4.5,3.7,3.2,4.2
243,6.0,6.4,6.3,6.0,6.2,7.2,7.4,6.4,3.5,3.9,5.9,5.4,6.8,5.9,4.2,6.1,6.8,5.4,3.8,3.6,4.5,7.6,6.5,4.7,6.8,8.9,8.9,8.8,6.1,3.9,4.5,3.8,3.3,4.3
244,6.2,6.6,6.4,6.2,6.4,7.5,7.6,6.6,3.7,4.0,6.2,5.6,7.1,6.1,4.3,6.3,6.9,5.6,3.8,3.6,4.6,7.8,6.7,4.9,7.0,9.3,9.2,9.3,6.4,4.0,4.5,3.9,3.4,4.3
245,6.4,6.8,6.6,6.5,6.6,7.7,7.9,6.8,3.8,4.1,6.5,5.9,7.5,6.2,4.5,6.5,7.1,5.7,3.8,3.5,4.6,8.1,6.8,5.0,7.1,9.7,9.6,9.7,6.6,4.0,4.6,3.9,3.5,4.4
246,6.6,7.0,6.7,6.7,6.8,8.0,8.1,7.0,4.0,4.2,6.8,6.2,7.8,6.4,4.6,6.7,7.2,5.8,3.8,3.5,4.7,8.3,7.0,5.2,7.3,10.1,10.0,10.1,6.9,4.1,4.6,4.0,3.6,4.4
247,7.0,7.5,8.0,7.0,7.2,8.3,8.4,6.8,5.5,4.8,7.0,6.5,7.6,6.3,4.9,6.4,7.2,6.6,6.0,5.5,7.5,8.8,7.3,4.7,7.8,11.0,9.5,11.2,7.2,4.1,3.9,4.1,3.4,5.0
248,6.9,7.5,7.7,7.1,7.1,8.4,8.4,6.5,5.4,4.9,6.6,6.0,7.5,7.0,4.9,7.1,8.3,7.0,5.3,5.0,6.0,8.7,7.1,4.6,7.5,10.6,8.8,10.9,7.1,3.7,4.2,3.7,2.8,4.6
249,6.9,7.3,7.6,6.9,7.0,8.1,8.3,6.8,5.2,4.5,7.0,6.8,7.3,6.7,5.4,6.6,8.0,6.5,5.1,5.2,5.0,8.3,7.4,3.5,8.1,9.7,7.7,10.1,7.9,4.2,4.5,4.1,2.3,6.1
250,7.1,7.6,7.5,7.4,7.4,8.1,8.2,7.0,4.9,5.1,7.0,6.7,7.6,6.7,6.1,6.5,7.7,6.5,4.8,5.1,4.0,8.8,8.1,5.6,8.5,9.8,7.9,10.2,7.9,4.3,4.2,4.3,3.0,5.6
251,6.9,7.4,7.4,7.1,7.3,7.9,8.3,6.6,5.0,4.6,6.3,6.1,6.7,6.5,5.5,6.2,8.1,6.8,5.5,5.5,5.5,8.5,8.1,5.2,8.6,9.6,8.2,9.8,7.5,4.3,5.3,4.1,2.9,5.5
252,7.1,7.5,7.3,7.5,7.4,7.8,7.9,6.6,5.9,4.9,6.3,5.7,7.3,6.5,4.9,6.1,8.5,7.6,5.5,5.6,5.2,8.6,8.2,5.3,8.7,9.8,7.8,10.2,7.4,4.7,4.8,4.7,3.3,6.2
253,7.0,7.4,7.5,7.6,6.9,7.7,7.9,6.9,6.4,5.3,6.7,6.6,6.8,6.2,5.4,6.1,7.1,7.2,5.5,5.7,5.2,8.6,8.1,4.2,8.8,9.4,7.7,9.7,7.5,4.4,4.0,4.5,3.1,6.0
254,7.2,7.6,7.8,7.8,7.2,7.9,8.0,6.7,5.2,4.8,6.2,6.1,6.2,6.4,5.4,6.4,7.4,8.0,5.3,4.9,6.3,9.5,8.4,4.9,9.0,9.9,7.5,10.3,6.6,4.6,5.2,4.5,3.2,6.0
255,7.4,7.9,8.0,7.7,7.9,8.6,7.7,6.8,6.4,5.5,6.6,6.6,6.6,7.0,5.3,7.8,6.5,8.0,5.3,5.3,5.3,9.8,8.7,4.4,9.4,9.6,7.1,10.0,7.0,4.5,4.3,4.5,3.1,6.1
256,7.3,7.7,7.7,7.3,7.7,8.1,8.8,7.9,6.3,5.4,7.3,7.3,7.2,6.2,5.2,6.4,6.6,8.3,5.8,5.5,6.7,9.3,8.4,4.5,9.1,9.4,6.4,9.9,7.4,4.6,4.0,4.7,3.5,6.0
257,7.0,7.4,7.9,7.2,7.2,7.3,8.5,7.8,5.5,5.1,6.1,6.2,5.9,6.3,5.8,6.4,6.4,7.5,5.8,5.4,6.8,9.0,8.3,4.1,9.1,9.3,6.9,9.7,6.6,4.6,4.2,4.6,3.4,6.0
258,6.9,7.3,7.7,6.8,7.2,7.5,8.9,7.6,6.3,4.9,6.2,6.4,6.0,5.4,4.4,5.3,6.3,7.6,6.6,6.8,6.2,9.2,8.2,4.1,8.9,9.1,6.4,9.6,7.0,4.3,3.8,4.3,3.1,5.6
